ID,Source,Page,X1,Y1,X2,Y2,Width,Height,TextLength,Text
W-036,web,1,1958,23052,2969,23516,1011,464,199,神社仏閣を参拝した証としていただくものです。その起源は古く、平安時代頃から巡礼者が書写した経文を奉納した際に受領印を受けるようになり、その「納経帳」がルーツという説が有力とされています。経文を書き写すことで徳を積み、奉納することで現世の安穏が得られると考えられていました。やがて書写しなくても「御朱印」が授与されるよう変化し、「御朱印帳」は参拝した時の感動を保存する証として今も受け継がれています。
W-037,web,1,1171,23766,2665,23859,1494,93,15,御朱印のマナー、まずは参拝から
W-038,web,1,931,24000,2886,24092,1955,92,79,"「御朱印」集めはスタンプラリーではありません。
参拝した証ですので、まずは正しい手順で参拝し、お参りを済ませた後に社務所を訪ねて「御朱印」をお願いしましょう。"
W-039,web,1,1977,24201,3017,25196,1040,995,252,"お寺の一般的な参拝手順
●山門と向かい合い一礼
帽子やサングラスはここで外します。
②尾手水舎(ちょうずや)で身を清める左手→右手を清め→左手で水を受け口をすすぐ再度右手を清め残った水を柄杓の柄に流し清める
③御本尊祀られる本堂にお参り線香やろうそくをお供え→1礼し鰐口があれば静かに鳴らす合掌し仏様と対話→1礼
④寺務所に立ち寄り、御朱印をいただく御朱印帳を小銭を用意し初穂料とともに預ける→カバーなどは外して、書いてもらいたいページを開き上下が正しいか確認して渡す→書き上がったらお礼を言って受取
料"
W-040,web,1,819,24249,1827,25251,1008,1002,264,"神社の一般的な参拝手順
鳥居前で一礼
鳥居の中央は避け、左右どちらかを潜り神域へ、
近道せず必ず鳥居を潜りましょう。
②手水舎(ちょうずや)で身を清める左手→右手を清め→左手で水を受け口をすすぐ再度右手を清め→残った水を柄杓の柄に流し清める
拝殿でお参り
鈴があれば静かに1回鳴らす→お賽銭を納める→2礼、2拍手、1礼心の中で神様と対話→1礼
社務所に立ち寄り、御朱印をいただく御朱印帳を小銭を用意し初穂料とともに預ける→カバーなどは外して、書いてもらいたいページを開き上下が正しいか確認して渡す→書き上がったらお礼を言って受取"
W-041,web,1,1344,25376,2476,25404,1132,28,36,※上記は作法の一般的な例で、ご参拝される寺社による異なる場合があります。
W-042,web,1,1881,25814,1942,26214,61,400,6,参加寺社一覧
W-043,web,1,902,26441,1008,26480,106,39,2,福岡
W-044,web,1,1225,26438,1331,26480,106,42,2,佐賀
W-045,web,1,1545,26438,1654,26480,109,42,2,長崎
W-046,web,1,1865,26438,1974,26480,109,42,2,大分
W-047,web,1,2185,26438,2630,26480,445,42,6,"熊本
鹿児島"
W-048,web,1,2825,26435,2928,26480,103,45,2,宮崎
W-049,web,1,1638,26803,2467,27724,829,921,69,"門司港駅
0403
鹿児島本線
直方駅
●二日市駅
福岡県
●鳥栖駅
久留米駅
羽犬塚駅
久大本線
30
31
大分県
登記本線
●玉来駅"
W-050,web,1,1033,27321,1788,28044,755,723,88,"佐賀県
36
(武雄温泉駅
「野温泉駅
佐賀駅
●
江北駅
佐世保职
長崎県
32
大牟田駅
大村車両基地駅
大村駅
鹿児島本線
諫早駅
本課早职
47
/西九州新幹線
長崎駅"
W-051,web,1,2460,27356,2646,27500,186,144,9,"亀川駅
34大分駅"
W-052,web,1,1868,27785,2057,28006,189,221,12,"肥後大津駅
熊本県
60"
W-053,web,1,2550,27968,2576,28025,26,57,5,"70
69"
W-054,web,1,2268,28262,2604,28700,336,438,21,"宮崎県
1
・都農駅
72
●宮崎駅
מן"
W-055,web,1,1619,28470,1910,29040,291,570,23,"出水駅
鹿児島県
鹿児島駅
鹿児島中央駅
寺駅"
W-056,web,1,1049,29491,2822,29529,1773,38,51,肥薩線(八代~吉松間)は「令和2年7月豪雨」による被災のため不通となっています。(2025年1月現在)
